City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
256,naze,5.43,7.07,75.18,95,71,3.22,NG,1573253001
257,mana,13.03,5.27,79.95,19,0,6.87,NG,1573253001
258,oranjemund,-28.55,16.43,58.35,85,60,5.66,ZA,1573253001
259,yaan,7.38,8.57,79.74,65,43,3.36,NG,1573253001
260,shubarshi,48.59,57.19,34.2,75,94,10.92,KZ,1573253001
261,ahipara,-35.17,173.16,73.99,99,69,19.04,NZ,1573252418
262,sechura,-5.56,-80.82,65.21,85,21,12.91,PE,1573253002
263,lakes entrance,-37.88,147.99,54.0,66,82,4.0,AU,1573252402
264,buala,-8.15,159.59,80.38,77,100,2.46,SB,1573252403
265,kendari,-3.99,122.52,87.78,56,12,0.98,ID,1573253002
266,nizhniy kuranakh,58.84,125.49,-11.55,87,0,2.08,RU,1573253002
267,rorvik,64.86,11.24,24.01,92,0,11.41,NO,1573252412
268,samarai,-10.62,150.67,84.11,69,66,4.0,PG,1573252464
269,bage,12.95,75.85,65.55,93,10,2.62,IN,1573253003
270,springbok,-29.67,17.88,62.71,28,44,6.29,ZA,1573253003
271,ardmore,34.99,-86.85,45.0,48,1,11.41,US,1573253003
272,balkanabat,39.51,54.36,53.06,24,0,13.8,TM,1573253003
273,hope,33.67,-93.59,48.2,42,90,5.82,US,1573253003
274,itarema,-2.92,-39.92,78.87,74,74,10.65,BR,1573253003
275,codrington,-28.95,153.24,72.0,53,90,10.29,AU,1573252488
276,bubaque,11.28,-15.83,84.02,69,41,13.35,GW,1573252419
277,flinders,-34.58,150.85,62.01,30,12,16.11,AU,1573253004
278,shenjiamen,29.96,122.3,62.67,60,0,16.46,CN,1573253004
279,manta,45.1,24.1,52.84,89,36,2.89,RO,1573252474
280,marathon,48.72,-86.38,19.4,85,90,14.32,CA,1573253004
281,chingola,-12.55,27.86,72.5,46,75,4.36,ZM,1573253004
282,houston,29.76,-95.37,54.0,81,40,12.75,US,1573252998
283,chitungwiza,-18.01,31.07,70.86,45,10,11.14,ZW,1573253005
284,cockburn town,21.46,-71.14,82.4,74,40,9.17,TC,1573253005
285,lundazi,-12.29,33.17,71.56,65,1,11.83,ZM,1573253005
286,port elizabeth,39.31,-74.98,39.99,34,1,8.05,US,1573253005
287,karratha,-20.74,116.85,82.18,51,100,7.45,AU,1573253005
288,alexandria,43.97,25.33,48.99,92,11,7.45,RO,1573252944
289,carnarvon,-30.97,22.13,59.67,40,35,13.94,ZA,1573253006
290,taoudenni,22.68,-3.98,71.55,23,100,5.19,ML,1573253006
291,ambon,47.55,-2.56,48.0,93,65,5.82,FR,1573253006
292,mandalgovi,45.76,106.27,30.69,69,88,15.93,MN,1573252411
293,teya,21.05,-89.07,87.01,62,40,8.05,MX,1573252415
